CaptureSite,CaptureSiteCategory,Type
CaptureSite_0,CaptureSiteCategory_2,Type_1
CaptureSite_1,CaptureSiteCategory_2,Type_1
CaptureSite_10,CaptureSiteCategory_2,Type_1
CaptureSite_11,CaptureSiteCategory_0,Type_0
CaptureSite_12,CaptureSiteCategory_2,Type_1
CaptureSite_13,CaptureSiteCategory_2,Type_1
CaptureSite_14,CaptureSiteCategory_4,Type_0
CaptureSite_15,CaptureSiteCategory_0,Type_0
CaptureSite_16,CaptureSiteCategory_4,Type_0
CaptureSite_17,CaptureSiteCategory_4,Type_0
CaptureSite_18,CaptureSiteCategory_1,Type_1
CaptureSite_19,CaptureSiteCategory_2,Type_1
CaptureSite_2,CaptureSiteCategory_2,Type_1
CaptureSite_20,CaptureSiteCategory_0,Type_0
CaptureSite_21,CaptureSiteCategory_0,Type_0
CaptureSite_22,CaptureSiteCategory_4,Type_0
CaptureSite_23,CaptureSiteCategory_0,Type_0
CaptureSite_24,CaptureSiteCategory_2,Type_1
CaptureSite_25,CaptureSiteCategory_0,Type_0
CaptureSite_26,CaptureSiteCategory_3,Type_1
CaptureSite_27,CaptureSiteCategory_0,Type_0
CaptureSite_28,CaptureSiteCategory_0,Type_0
CaptureSite_3,CaptureSiteCategory_2,Type_1
CaptureSite_4,CaptureSiteCategory_2,Type_1
CaptureSite_5,CaptureSiteCategory_4,Type_0
CaptureSite_6,CaptureSiteCategory_4,Type_0
CaptureSite_7,CaptureSiteCategory_4,Type_0
CaptureSite_8,CaptureSiteCategory_1,Type_1
CaptureSite_9,CaptureSiteCategory_1,Type_1
